OTU_ID	E1	E2	E28	E3	E30	E7	E8	E9
otu468	0	74	0	0	0	107	47	95
otu469	60	65	57	58	0	0	0	0
otu470	65	38	61	0	52	0	0	0
otu471	0	0	61	78	33	0	0	15
otu472	0	0	0	0	56	0	0	137
otu473	0	112	0	0	0	0	0	0
otu474	0	0	0	0	0	0	0	0
otu475	51	0	0	31	0	0	0	0
otu476	0	0	0	0	119	57	44	59
otu477	0	155	0	89	0	0	0	0
otu478	0	26	27	0	0	128	52	106
otu479	75	30	38	81	24	0	26	17
otu480	58	41	92	78	16	0	11	18
otu481	0	17	0	0	94	62	138	54
otu482	50	33	57	50	53	0	73	0
otu483	52	40	41	58	30	0	0	0
otu484	67	55	64	33	61	26	27	13
otu485	53	0	0	48	0	0	62	39
otu486	0	0	44	0	38	0	0	19
otu487	49	56	61	0	0	0	0	0
otu488	0	0	0	25	0	177	70	139
otu489	0	34	0	0	169	50	0	53
otu490	0	0	0	0	0	59	53	53
otu491	14	0	0	26	85	63	50	54
otu492	35	66	42	36	106	0	37	74
otu493	53	0	0	28	0	60	0	62
otu494	50	0	49	67	0	37	0	0
otu495	55	40	66	50	23	0	22	0
otu496	42	67	78	24	39	60	40	41
otu497	46	88	56	78	0	27	16	0
otu498	0	0	0	0	48	50	77	57
otu499	0	0	0	0	98	63	55	0
otu500	0	0	0	0	100	36	66	76
otu501	0	0	0	0	0	88	91	107
otu502	51	0	49	68	60	30	0	0
otu503	66	0	53	68	0	0	0	0
otu504	73	78	84	46	0	0	0	0
otu505	58	42	48	75	0	0	0	0
otu506	64	66	57	0	0	31	43	0
otu507	0	27	30	28	76	29	37	43
otu508	0	0	0	0	74	89	63	60
otu509	17	0	0	0	105	0	0	0
otu510	75	0	0	54	0	20	0	0
otu511	43	54	52	75	0	0	0	24
otu512	53	39	61	0	0	13	21	16
otu513	74	92	56	66	0	0	0	0
otu514	48	0	55	63	0	0	0	0
otu515	0	0	0	38	201	71	0	0
otu516	52	48	81	44	0	43	0	0
otu517	54	0	47	29	82	41	0	49
otu518	42	67	47	84	86	37	0	0
otu519	32	79	32	39	0	0	23	25
otu520	17	22	0	0	0	149	115	140
otu521	0	0	81	0	92	58	0	0
otu522	62	69	26	61	0	0	20	24
otu523	0	0	0	0	58	58	88	0
otu524	51	0	73	54	0	0	0	0
otu525	0	0	0	0	0	0	0	32
otu526	31	42	21	27	73	0	49	55
otu527	52	53	53	48	61	0	0	0
otu528	63	64	63	30	0	32	0	0
otu529	42	0	0	0	29	53	76	72
otu530	0	0	0	0	62	80	32	0
otu531	0	40	0	54	0	0	0	0
otu532	77	59	0	35	0	27	16	0
otu533	0	0	25	0	55	63	54	54
otu534	72	0	0	0	69	35	0	0
otu535	37	48	40	0	38	35	0	36
otu536	49	57	60	51	58	0	0	34
otu537	0	0	17	32	102	0	0	0
otu538	42	61	64	0	0	19	0	28
otu539	0	0	52	42	44	24	39	29
otu540	0	0	0	0	155	70	0	82
otu541	42	47	51	46	0	53	30	0
otu542	0	82	90	0	0	0	0	0
otu543	0	33	0	0	0	67	73	66
otu544	67	0	45	75	0	0	25	0
otu545	69	68	87	36	0	27	0	0
otu546	30	60	0	30	0	29	12	0
otu547	0	0	36	56	80	47	36	81
otu548	29	51	29	0	72	45	0	35
otu549	0	0	0	11	76	58	100	38
otu550	0	0	0	0	66	45	60	53
otu551	78	86	55	0	0	0	0	50
otu552	36	26	61	61	0	0	0	0
otu553	0	27	21	53	0	0	37	21
otu554	110	0	58	81	0	0	39	38
otu555	40	0	57	49	64	0	0	0
otu556	30	0	0	27	36	66	52	50
otu557	0	0	0	0	60	89	0	0
otu558	32	80	46	0	61	0	27	34
otu559	0	35	18	23	55	39	40	37
otu560	0	28	0	0	84	41	61	58
otu561	0	0	0	0	0	129	138	113
otu562	0	101	74	0	0	0	0	0
otu563	0	41	0	0	75	51	41	55
otu564	0	26	0	27	42	74	69	92
otu565	96	0	0	39	0	33	48	54
otu566	90	42	32	53	0	10	0	0
otu567	40	38	26	28	0	20	25	19
otu568	13	29	0	0	0	107	75	71
otu569	12	15	0	23	28	103	78	88
otu570	0	0	0	0	0	160	68	78
otu571	36	69	22	36	0	0	0	0
otu572	47	52	0	53	27	53	0	46
otu573	55	53	61	58	0	0	0	0
otu574	36	36	38	39	0	73	36	56
otu575	0	50	40	50	55	44	36	0
otu576	43	60	0	0	0	0	22	0
otu577	46	59	37	32	9	18	0	5
otu578	67	0	103	0	0	0	0	0
otu579	52	45	76	22	18	23	28	27
otu580	20	35	0	0	77	35	61	69
otu581	0	0	0	5	0	0	0	30
otu582	36	51	0	50	0	0	0	0
otu583	13	0	0	0	0	159	148	153
otu584	48	69	56	0	24	0	0	0
otu585	0	0	114	0	39	0	0	45
otu586	31	46	0	0	43	76	38	69
otu587	0	0	0	0	0	91	105	90
